date,time,tag,detail
"2026-08-21","13:40:21","[ANPR_EVENT]","plate=8805УЕУ  conf=94%  dir=exit  lot=""ҮЦХ-Баруун""  cam=59"
"2026-08-21","13:39:50","[ANPR_EVENT]","plate=0921УКМ  conf=82%  dir=exit  lot=""ҮЦХ-Баруун""  cam=60"
"2026-08-21","13:39:47","[ANPR_EVENT]","plate=5283УНЗ  conf=94%  dir=exit  lot=""ҮЦХ-Баруун""  cam=59"
"2026-08-21","13:39:43","[ANPR_EVENT]","plate=1696УАВ  conf=90%  dir=exit  lot=""Соло""  cam=21"
"2026-08-21","13:39:42","[ANPR_EVENT]","plate=3819УНЦ  conf=90%  dir=exit  lot=""3-р эмнэлэг""  cam=49"
"2026-08-21","13:39:38","[ANPR_EVENT]","plate=3459УНҮ  conf=90%  dir=enter  lot=""3-р эмнэлэг""  cam=48"
"2026-08-21","13:39:38","[ANPR_EVENT]","plate=3531УБЗ  conf=86%  dir=exit  lot=""ҮЦХ-Баруун""  cam=59"
"2026-08-21","13:39:35","[ANPR_EVENT]","plate=1585УБО  conf=90%  dir=enter  lot=""3-р эмнэлэг""  cam=50"
"2026-08-21","13:39:31","[ANPR_EVENT]","plate=2402УБЯ  conf=50%  dir=exit  lot=""Соло""  cam=21"
"2026-08-21","13:39:29","[ANPR_EVENT]","plate=4442УБП  conf=90%  dir=enter  lot=""Андууд""  cam=10"
"2026-08-21","13:39:26","[ANPR_EVENT]","plate=5260УБД  conf=94%  dir=enter  lot=""3-р эмнэлэг""  cam=48"
"2026-08-21","13:39:23","[ANPR_EVENT]","plate=8745УЕА  conf=94%  dir=exit  lot=""Барилгачдын талбай""  cam=62"
"2026-08-21","13:39:22","[ANPR_EVENT]","plate=5910УБВ  conf=90%  dir=exit  lot=""ҮЦХ-Баруун""  cam=59"
"2026-08-21","13:39:21","[ANPR_EVENT]","plate=1785УКС  conf=94%  dir=exit  lot=""3-р эмнэлэг""  cam=49"
"2026-08-21","13:39:04","[ANPR_EVENT]","plate=3969УЕВ  conf=86%  dir=exit  lot=""Гэгээнтэн урд""  cam=75"
"2026-08-21","13:39:03","[ANPR_EVENT]","plate=6610УНБ  conf=90%  dir=exit  lot=""Соло""  cam=21"
"2026-08-21","13:39:02","[ANPR_EVENT]","plate=5970УЕК  conf=94%  dir=enter  lot=""Гэгээнтэн урд""  cam=74"
"2026-08-21","13:38:46","[ANPR_EVENT]","plate=1785УКС  conf=90%  dir=enter  lot=""3-р эмнэлэг""  cam=50"
"2026-08-21","13:38:30","[ANPR_EVENT]","plate=8220УЕУ  conf=94%  dir=enter  lot=""ҮЦХ-Баруун""  cam=58"
"2026-08-21","13:38:29","[ANPR_EVENT]","plate=6583УБХ  conf=90%  dir=exit  lot=""ҮЦХ-Баруун""  cam=60"
"2026-08-21","13:38:27","[ANPR_EVENT]","plate=5131УБР  conf=94%  dir=exit  lot=""ҮЦХ-Зүүн""  cam=85"
"2026-08-21","13:38:24","[ANPR_EVENT]","plate=5529УНМ  conf=94%  dir=enter  lot=""ҮЦХ-Баруун""  cam=58"
"2026-08-21","13:38:23","[ANPR_EVENT]","plate=8101УАМ  conf=94%  dir=exit  lot=""ҮЦХ-Баруун""  cam=59"
"2026-08-21","13:38:21","[ANPR_EVENT]","plate=7183УБТ  conf=94%  dir=enter  lot=""ҮЦХ-Зүүн""  cam=84"
"2026-08-21","13:38:12","[ANPR_EVENT]","plate=1522УБР  conf=94%  dir=enter  lot=""Соло""  cam=20"
"2026-08-21","13:37:53","[ANPR_EVENT]","plate=1579УБЯ  conf=90%  dir=exit  lot=""3-р эмнэлэг""  cam=49"
"2026-08-21","13:37:51","[ANPR_EVENT]","plate=9889УБӨ  conf=90%  dir=exit  lot=""Гэгээнтэн урд""  cam=75"
"2026-08-21","13:37:45","[ANPR_EVENT]","plate=9065УБҮ  conf=90%  dir=exit  lot=""Барилгачдын талбай""  cam=62"
